,Gene.Symbol1,Gene.Symbol2,value
1,FCRL5,PANK4,9.77421561919656e-05
2,FCRL4,PANK4,9.77421561919656e-05
3,FCRL3,PANK4,9.77421561919656e-05
4,FCRL2,PANK4,9.77421561919656e-05
5,FCRL1,PANK4,9.77421561919656e-05
6,CD5L,PANK4,9.77421561919656e-05
7,KIRREL,PANK4,9.77421561919656e-05
8,CR2,PANK4,9.77421561919656e-05
9,CR1,PANK4,9.77421561919656e-05
10,CR1L,PANK4,9.77421561919656e-05
11,CD46,PANK4,9.77421561919656e-05
12,C1orf132,PANK4,9.77421561919656e-05
13,CD34,PANK4,9.77421561919656e-05
14,PLXNA2,PANK4,9.77421561919656e-05
15,CAMK1G,PANK4,9.77421561919656e-05
16,LAMB3,PANK4,9.77421561919656e-05
17,G0S2,PANK4,9.77421561919656e-05
18,HSD11B1,PANK4,9.77421561919656e-05
19,TRAF3IP3,PANK4,9.77421561919656e-05
20,C1orf74,PANK4,9.77421561919656e-05
21,IRF6,PANK4,9.77421561919656e-05
22,DIEXF,PANK4,9.77421561919656e-05
23,SYT14,PANK4,9.77421561919656e-05
24,SIPA1L2,PANK4,9.77421561919656e-05
25,MAP10,PANK4,9.77421561919656e-05
26,PCNXL2,PANK4,9.77421561919656e-05
27,RYR2,PANK4,9.77421561919656e-05
28,TCF7L1,PANK4,9.77421561919656e-05
29,MRPS9,PANK4,9.77421561919656e-05
30,GPR45,PANK4,9.77421561919656e-05
31,TGFBRAP1,PANK4,9.77421561919656e-05
32,FHL2,PANK4,9.77421561919656e-05
33,NCK2,PANK4,9.77421561919656e-05
34,C2orf40,PANK4,9.77421561919656e-05
35,UXS1,PANK4,9.77421561919656e-05
36,RGPD3,PANK4,9.77421561919656e-05
37,ST6GAL2,PANK4,9.77421561919656e-05
38,SLC5A7,PANK4,9.77421561919656e-05
39,SULT1C3,PANK4,9.77421561919656e-05
40,SULT1C2,PANK4,9.77421561919656e-05
41,SULT1C4,PANK4,9.77421561919656e-05
42,GCC2,PANK4,9.77421561919656e-05
43,LIMS1,PANK4,9.77421561919656e-05
44,RANBP2,PANK4,9.77421561919656e-05
45,CCDC138,PANK4,9.77421561919656e-05
46,EDAR,PANK4,9.77421561919656e-05
47,MIR4265,PANK4,9.77421561919656e-05
48,MIR4266,PANK4,9.77421561919656e-05
49,SEPT10,PANK4,9.77421561919656e-05
